Watching for file changes with StatReloader
Forbidden (CSRF token missing.): /admin/login/
"POST /admin/login/?next=/admin/users/user/ HTTP/1.1" 403 2505
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 521
"GET /api/v1/auth/shipping-info/ HTTP/1.1" 200 75
"POST /api/v1/orders/cart/add/ HTTP/1.1" 201 359
"GET /api/v1/auth/status/ HTTP/1.1" 200 541
"GET /api/v1/orders/cart/ HTTP/1.1" 200 881
Internal Server Error: /api/v1/orders/cart/add/
Traceback (most recent call last):
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\backends\utils.py", line 105, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
psycopg2.errors.UniqueViolation: duplicate key value violates unique constraint "cart_items_cart_id_product_id_size_color_6119cf01_uniq"
DETAIL:  Key (cart_id, product_id, size, color)=(4, 5, M, Grey) already exists.


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\apps\orders\views.py", line 101, in post
    item = CartItem.objects.create(
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\query.py", line 679, in create
    obj.save(force_insert=True, using=self.db)
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 822, in save
    self.save_base(
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 909, in save_base
    updated = self._save_table(
              ^^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 1067, in _save_table
    results = self._do_insert(
              ^^^^^^^^^^^^^^^^
  File "D:\Work\mufrad\JustClothing\backend\env\Lib\site-packages\django\db\models\base.py", line 1108, in _do_insert
    return manager._insert(
           ^^^^^^^^^^^^^^^^
